,Title,Price,Brand,Model Name,Colour,Headphones Form Factor,Connector Type,Wireless Communication Technology,Cable Type,Compatible Device,Special Feature,Series,Form Factor,Connectivity Technology,Connectivity technologies,Mounting Hardware,Wireless communication technologies,Connectivity Type
0,(Renewed) boAt Rockerz 550 Bluetooth Over-Ear Wireless Headphone with Ergonomic Aesthetics Plush Padded Earcups Immersive Audio Bluetooth v5.0 & Upto 20H Playback (Black),,boAt,Rockerz 550,Active Black,Over Ear,Wireless,,,,,,,,,,,
1,"Newly Launched Boult Audio Z25 with 32H Playtime, 45ms Low Latency, Type-C Fast Charging (10=150Mins), 13mm Rich Bass Drivers, Zen™ ENC Mic, TWS Bluetooth 5.3 True Wireless Airbass Earbuds (Blue Moss)","1,298",Boult Audio,AirBass,Blue Moss,In Ear,Wireless,,,,,,,,,,,
2,ZEBRONICS Zeb-Bang Bluetooth Wireless Over Ear Headphones with Mic (Orange),699,ZEBRONICS,Zeb-Bang,Orange,Over Ear,"Wireless, Bluetooth 5.0",,,,,,,,,,,
3,"Earphones Headphones for Xiaomi Redmi Note 9 Pro Earphone Original Like Wired Stereo Deep Bass Head Hands-free Headset Earbud With Built in-line Mic, With Premium Quality Good Sound Call Answer/End Button, Music 3.5mm Aux Audio Jack (MP9-831, Black)",NaN,Shop Reals,Xiaomi Redmi Note 9 Pro,Multicolour,In Ear,Wired,,,,,,,,,,,
4,Dylect in-Ear Wired Earphone I Stereo Quality Sound I High Bass I in-Built Mic I 1.2m Tangle Free Cable I 3.5mm Aux Port (Black),188,Dylect,Dylect Wired Earphone,Black,In Ear,Wired,,,,,,,,,,,
5,"Mivi Collar Flash Bluetooth Wireless in Ear Earphones,24 Hours Battery Life, Booming Bass, IPX4 Sweat Proof, Passive Noise Cancellation, Bluetooth 5.0 with mic (Red)",899,Mivi,Collar Flash,Red,In Ear,Wireless,,,,,,,,,,,
6,"ZEBRONICS Zeb-Thunder Wireless Bluetooth Over The Ear Headphone FM, mSD, 9 hrs Playback with Mic (Brown)",599,ZEBRONICS,Zeb-Thunder(brown),Brown,Over Ear,"Wireless, Wired",,,,,,,,,,,
7,"Boult Audio X30 True Wireless in Ear Earbuds with 40H Playtime, Quad Mic ENC, 45ms Xtreme Low Latency, Made in India, Type-C Fast Charging, 3 Equalizer Modes (Rock, BoomX, Hi-Fi), BT 5.1 (Blue)","1,499",Boult Audio,AirBass,Blue,In Ear,Wireless,,,,,,,,,,,
8,"UBON Earphones with Mic, Sports Series UB-113, in Ear Wired Headphone for Extra Bass & HD Sound, 10mm Dynamic Driver, 3.5 mm Audio Jack Compatible with Mobile Phones, Tablets & Laptops (Yellow)",199,UBON,Sports Series,Yellow,In Ear,Wired,,,,,,,,,,,
9,"Wireless Bluetooth Headphones Earphones for Samsung Galaxy A53 5G Original Sports Bluetooth Wireless Earphone with Deep Bass and Neckband Hands-Free Calling inbuilt With Mic, Extra Deep Bass Hands-Free Call/Music, Sports Earbuds, Sweatproof Mic Headphones with Long Battery Life and Flexible Headset ( SPT15,RKZ-335,BLACK)",449,Shop Reals,Samsung Galaxy A53 5G,Mix,In Ear,Wireless,,,,,,,,,,,
10,"GoSale Wireless Bluetooth Headphones Earphones for Samsung Galaxy A12 / A 12, A22 / A 22, F12 / F 12, F41 / F 41, F62 / F 62, Fold Lite, M12 / M 12, M12s / M 12 s Earphone Bluetooth Wireless Neckband Flexible In-Ear Headphones Headset With Mic, Extra Deep Bass Hands-Free Call/Music, Sports Earbuds, Sweatproof (HBS1, Multi)","1,299.",GoSale,,Multicolour,In Ear,Bluetooth,Bluetooth,,,,,,,,,,
11,"CableCreation 3.5mm TRS Aux Cable, Braided Audio Auxiliary Input Adapter Male to Male for Car, Hi-Fi Sound, Cotton Compatible with Headphone, Galaxy S22, Phone, Home Stereo, Car Stereo&More",599,CableCreation,,"Gold, White, Black",,Auxiliary,,AUX,"Laptop, Television, Personal Computer, Smartphone",,,,,,,,
12,"Boult Audio Truebuds with 30H Playtime, IPX7 Waterproof, Made in India, Type C Fast Charging (10Min=100Mins), Rich Bass, Pro+ Calling HD Mic, IPX5 Airbass Bluetooth True Wireless Earbuds (Grey)","1,199",Boult Audio,AirBass,Grey,In Ear,Wireless,,,,,,,,,,,
13,"UBON Earphones Bluetooth Headphones CL-5610 Platinum Series, Wireless Neckband with Up to 25 Hours Playtime, TF Card Slot, Magnetic Earbuds, v5.0 Bluetooth Headset for Hi-Fi Music & Super Bass",799,UBON,CL-5610,Multi,In Ear,Wireless,,,,,,,,,,,
14,Dylect in-Ear Wired Earphone I Stereo Quality Sound I High Bass I in-Built Mic I 1.2m Tangle Free Cable I 3.5mm Aux Port (Black),188,Dylect,Dylect Wired Earphone,Black,In Ear,Wired,,,,,,,,,,,
15,"ZEBRONICS Zeb-Thunder Bluetooth Wireless On Ear Headphone FM, mSD, 9 hrs Playback with Mic (Neon Yellow)",599,ZEBRONICS,Zeb-Thunder (Neon Yellow),Neon Yellow,On Ear,"Wireless, Wired",,,,,,,,,,,
16,ZEBRONICS Zeb-Bang Wireless Bluetooth On The Ear Headphone with Mic and Playback time 16 hrs (Black),"1,199",ZEBRONICS,Zeb-Bang,Black,On Ear,Wireless,,,,,,,,,,,
17,"Gaming Headset K8 with Surround Sound, Premium Wired Over Ear Gaming Headphones with Mic & LED Light, Compatible with PS5, PS4, Switch, Xbox Series X|S, PC, Laptop. (White)",827,RUNMUS GAMING,K8,Black,Over Ear,Wired,,,,,,,,,,,
18,"JBL Tune 175BT, Wireless Bluetooth in-Ear Headphone with Mic, Pure Bass Sound, 14 Hours of Playtime, Multi-Point Connectivity, Voice Assistant Support, Bluetooth 5.0 (Blue)","2,299",JBL,Tune,Blue,In Ear,Wireless,,,,,,,,,,,
19,"boAt Nirvana 751 ANC Hybrid Active Noise Cancelling Bluetooth Wireless Over Ear Headphones with Up to 65H Playtime, ASAP Charge, Ambient Sound Mode, Immersive Sound, Carry Pouch(Gunmetal Grey)","3,999",BoAt,Nirvanaa 751 ANC,Gunmetal Grey,Over Ear,Bluetooth 5.0,,,,,,,,,,,
20,"ZEBRONICS Zeb-Bro in Ear Wired Earphones with Mic, 3.5mm Audio Jack, 10mm Drivers, Phone/Tablet Compatible(Black)",149,ZEBRONICS,Zeb-Bro,Black,In Ear,Wired,,,,,,,,,,,
21,"Sony WH-XB910N Extra Bass Noise Cancelling Bluetooth Wireless Over Ear Headphones with Alexa Voice Control, Fast Pair, 30Hr Battery | Instant Bank Discount of INR 2000 on Select Prepaid transactions","14,399",Sony,WH-XB910N,Blue,Over Ear,Bluetooth,,,,,,,,,,,
22,Boult Audio Bass Buds Q2 Lightweight Stereo Wired Over Ear Headphones Set & Bassbuds Loop Wired in Ear Earphones with Mic with 12Mm Powerful Driver for Extra Bass with Customizable Ear Loop,,Boult Audio,,Black,"Over Ear, In Ear",Wired,,,,"over-ear, earhook, in-ear",,,,,,,
23,"JBL Tune 760NC,Over Ear Active Noise Cancellation Headphones with Mic,up to 50 hrs Playtime,Pure Bass,Google Fast Pair,Dual Pairing,Bluetooth 5.0,AUX & Voice Assistant Support for Mobile Phones(White)","5,499",JBL,Tune,White,Over Ear,Bluetooth 5.0,,,,,,,,,,,
24,"JBL C100SI Wired In Ear Headphones with Mic, JBL Pure Bass Sound, One Button Multi-function Remote, Premium Metallic Finish, Angled Buds for Comfort fit (Red)",599,JBL,C100SI,Red,In Ear,Wired,,,,,,,,,,,
25,(Renewed) Jabra Elite 45h Wireless On-Ear Headphone With Mic (Copper black),,Jabra,,Copper black,On Ear,Wireless,Bluetooth,,,,,,,,,,
26,"UBON Wireless Headphone with Mic, BT-5750 Oscar Series, On Ear Bluetooth Headset, Up to 8 Hrs Playtime, 40mm Driver, Hi-Fi Music & Heavy Bass, Noise Isolation, Support TF Card & AUX (White & Maroon)",999,UBON,OSCAR,White & Maroon,On Ear,Wireless,,,,,,,,,,,
27,"Gaming Headset K8 with Surround Sound, Premium Wired Over Ear Gaming Headphones with Mic & LED Light, Compatible with PS5, PS4, Switch, Xbox Series X|S, PC, Laptop. (White)",827,RUNMUS GAMING,K8,Black,Over Ear,Wired,,,,,,,,,,,
28,"GoSale Type C Earphone for Vivo V25 Pro / V 25 Pro Earphones Original Like Wired Noise Cancelling In-Ear Headphones Stereo Deep Bass Head Hands-free Headset Earbud With Type-C to 3.5mm Aux Audio Jack Built in-line Mic, Call Answer/End Button, Music (TYS, White)","1,299.",GoSale,,White TYS,In Ear,Wired,,,,"Sweatproof, Foldable, Microphone Included",,,,,,,
29,"Jabra Evolve2 40 UC Wired Headphones, USB-C, Stereo, Black – Telework Headset for Calls and Music, Enhanced All-Day Comfort, Passive Noise Cancelling Headphones, UC-Optimized with USB-C Connection","12,000",Jabra,Evolve2 40,Black,On Ear,Wired,,,,,,,,,,,
30,"Mivi Collar 2B Bluetooth Wireless in Ear Earphones, 24 Hours Playtime, IPX7 Water Proof, Booming Bass, Magnetic Buds, Bluetooth 5.0 with mic (Black)",899,Mivi,Collar 2B,Black,In Ear,Wireless,,,,,,,,,,,
31,"Mivi Collar Flash Bluetooth Wireless in Ear Earphones,24 Hours Battery Life, Booming Bass, IPX4 Sweat Proof, Passive Noise Cancellation, Bluetooth 5.0 with mic (Orange)",899,Mivi,Collar Flash,Orange,In Ear,Wireless,,,,,,,,,,,
32,"UBON Earphones with Mic, Rapper Series UB-111, in-Ear Wired Headphone with 10mm Dynamic Driver, Gives Booming Sound & Heavy Bass, L-Shaped 3.5 mm Audio Jack, Universal Compatibility (Black)",199,UBON,Rapper Series,Black,In Ear,Wired,,,,,,,,,,,
33,Jabra 40 Stereo Wired On Ear Headphones with mic Black,"10,500",Jabra,40 Stereo,Black,Over Ear,Wired,,,,,,,,,,,
34,Jabra Evolve 65 UC Bluetooth Wireless On Ear Headphone with Mic (Black),"25,900",Jabra,,black,On Ear,bluetooth,Bluetooth,,,,,,,,,,
35,"ZEBRONICS Zeb-Bro in Ear Wired Earphones with Mic, 3.5mm Audio Jack, 10mm Drivers, Phone/Tablet Compatible(Blue)",149,ZEBRONICS,ZEB-BRO,Blue,In Ear,Wired,,,,,,,,,,,
36,"Sony WH-XB910N Extra Bass Noise Cancelling Bluetooth Wireless Over Ear Headphones with Alexa Voice Control, Fast Pair, 30Hr Battery | Instant Bank Discount of INR 2000 on Select Prepaid transactions","14,399",Sony,WH-XB910N,Blue,Over Ear,Bluetooth,,,,,,,,,,,
37,Jabra EVOLVE 75 MS Stereo Bluetooth Wireless On Ear Headphones With mic Black,"33,990",Jabra,Jabra EVOLVE 75 MS Stereo BT 4:0 HD voice Headphones with link 370,Black,Over Ear,Wireless,,,,,,,,,,,
38,"Wireless Bluetooth Headphones Earphones for Oppo K10 Original Sports Bluetooth Wireless Earphone with Deep Bass and Neckband Hands-Free Call/Music, Sports Earbuds, Sweatproof Mic Headphones with Long Battery Life and Flexible Headset ( BS9,RKZ-1005,BLACK)",599,Shop Reals,Oppo K10,Mix,In Ear,Wireless,,,,,,,,,,,
39,"Logitech H390 Wired Headset, Stereo Headphones with Noise-Cancelling Microphone, USB, in-Line Controls, PC/Mac/Laptop - Black","3,964",Logitech,H390 Headset,Black,On Ear,Wired,,,,,,,,,,,
40,"Bluetooth Earphones for OnePlus Nord 2T / 2 T Earphone Original Like Bluetooth Wireless Neckband Flexible In-Ear Headphones Headset With Built-in Mic, Extra Deep Bass Hands-Free Call/Music, Sports Earbuds, Sweatproof (LVL6, Multi)",149,GoSale,,Multi-coloured,In Ear,Wireless,Bluetooth,,,,,,,,,,
41,"Sony WI-XB400 Wireless Extra Bass in-Ear Headphones with 15 hrs Battery, Quick Charge, Magnetic Earbuds, Tangle Free Cord, BT Ver 5.0, Work from home,Bluetooth Headset with Mic for Phone Calls (Black)","3,090",Sony,Headphones,Black,In Ear,Bluetooth 5.0,,,,,,,,,,,
42,"Boult Audio ZCharge 40H Playtime & Super Fast Charging, Environmental Noise Cancellation for Pro+ Calling & IPX5 Water Resistant Bluetooth Wireless in Ear Earphones with Mic (Blue)","1,199",Boult Audio,ProBass,ZCharge Blue,In Ear,Bluetooth,,,,,,,,,,,
43,"ZEBRONICS Zeb-Thunder Bluetooth Wireless Over Ear Headphone FM, mSD, 9 hrs Playback with Mic (Black)","1,099",ZEBRONICS,ZEB-Thunder,Black,Over Ear,Bluetooth 4.2,,,,,,,,,,,
44,"ZEBRONICS Zeb-Bang Pro Bluetooth Wireless On Ear Headphones with Mic V5.0, 30H Backup, Foldable, Call Function, Voice Assistant, Built-in Rechargeable Battery, Type C, 40Mm Driver and Aux (Black)","1,199",ZEBRONICS,Zeb- Bang Pro (Black),Black,On Ear,Wireless,,,,,,,,,,,
45,"Boult Audio Bass Buds Q2 Lightweight Stereo Wired Over Ear Headphones Set with Mic with Deep Bass, Comfortable Ear Cushions, & Long Cord (Black)",649,Boult Audio,BassBud,Black,Over Ear,Wired,,,,,,,,,,,
46,"UBON Bluetooth Earphone CL-351, Wireless Neckband with Up to 15 Hours Playtime, Magnetic Earbuds, 10mm Drivers, Hi-Fi Music & Bass, Ergonomic Design, Bluetooth V5.0 Headphone (Black & Yellow)",649,UBON,Black Yellow,Black,In Ear,Wireless,,,,,,,,,,,
47,"Ubon Cl-118 Bluetooth Wireless In Ear Earphones With Mic, Up To 12 Hours Playtime, Hd Sound Quality, 10Mm Driver, V5.0 Bluetooth Headset (Red)",449,UBON,Ubon Lite,Red,In Ear,Wireless,,,,,,,,,,,
48,"Wired Earphones Headphones for Samsung Galaxy A53 / A 53 5G Earphone Original Like Wired Stereo Deep Bass Head Hands-free Headset Earbud With Built in-line Mic, With Premium Quality Good Sound Call Answer/End Button, Music 3.5mm Aux Audio Jack (AK=CAB, SK15A, Black)",,Shop Reals,Samsung Galaxy A53 5G,Multicolour,In Ear,Wired,,,,,,,,,,,
49,Jabra Evolve 30 II Stero On Ear Wired Headphone with Mic (Black),"8,850",Jabra,,Black,,,,,,,FBA_5399-823-309,On Ear,Wired,,,,
50,ZEBRONICS Zeb-Duke Wireless Bluetooth Over The Ear Headphone with Mic - (Green),"1,299",ZEBRONICS,Zeb-Duke,Green,Over Ear,Wireless,,,,,,,,,,,
51,"Mivi Rock and Roll E5 Wired In Ear Earphones with HD Sound and Extra Powerful Bass with Mic, Tangle Free & Extra Length Cable | Earphones for Mobile | Black",299,Mivi,Rock and Roll E5,Black,In Ear,Wired,,,,,,,,,,,
52,"Mivi DuoPods A550 Truly Wireless in Ear Earbuds with Quad Mic ENC(Environmental Noise Cancellation), 13mm Powerful Bass, 50+ Hours of Playtime, High Audio Quality, Metallic Design (Blue)","1,499",Mivi,DuoPods A550,Blue,,,,,,,,In Ear,,Wireless,,,
53,"Boult Audio ZCharge Bluetooth Wireless in Ear Earphones with Mic, 40H Playtime and Super Fast Charging, Environmental Noise Cancellation for Pro+ Calling and IPX5 Water Resistant (Black)","1,199",Boult Audio,ProBass,ZCharge Black,In Ear,Bluetooth 5.2,,,,,,,,,,,
54,"boAt Rockerz 450 Bluetooth On Ear Headphones with Mic, Upto 15 Hours Playback, 40MM Drivers, Padded Ear Cushions, Integrated Controls and Dual Modes(Aqua Blue)","1,399",boAt,Rockerz 450,Aqua Blue,On Ear,Wireless,,,,,,,,,,,
55,"Newly Launched Boult Audio Z25 with 32H Playtime, 45ms Low Latency, Type-C Fast Charging (10=150Mins), 13mm Rich Bass Drivers, Zen™ ENC Mic, TWS Bluetooth 5.3 True Wireless Airbass Earbuds (Blue Moss)","1,298",Boult Audio,AirBass,Blue Moss,In Ear,Wireless,,,,,,,,,,,
56,"UBON Wired Headphone, GHP-333 Extreme Beats Series, On Ear Wired Headset with High Bass, HD Sound, 40mm Dynamic Driver, Inbuilt Mic for Calling, Compatible with Smartphones, Laptops & Tablets (White)",479,UBON,Extreme Beats,White,On Ear,Wired,,,,,,,,,,,
57,"JBL Free WFH, Wired Over Ear Headphones with mic for Work from Home, Conference Calls, Online Learning & Teaching, Compatible with Universal Chat Apps (Black)","2,299",JBL,Free WFH,Black,Over Ear,Wired,,,,,,,,,,,
58,"UBON Wired Earphone GP-321 OG Series in-Ear Wired Headphones with Mic, 3.5 mm Audio Jack, 1-Meter Tangle-Free Cable, 10mm Dynamic Driver, Hi-Fi Audio & Deep Bass (White)",189,UBON,OG Series,White,In Ear,Wired,,,,,,,,,,,
59,"GoSale Earphone in-Ear Headphones for Xiaomi Mi A3 Earphones Wired Stereo Bass Head Hands-Free Headsets Earbuds with Mic, Calling 3.5mm Jack",320,GoSale,,White,In Ear,Wired,,,,,,,,,,,
60,"Earphones Headphones for OnePlus 7 Pro Earphone Original Like Wired Stereo Deep Bass Head Hands-free Headset Earbud With Built in-line Mic, With Premium Quality Good Sound Call Answer/End Button, Music 3.5mm Aux Audio Jack (TYPE C AK, Black)",389,Shop Reals,OnePlus 7 Pro,Multicolour,In Ear,Wired,,,,,,,,,,,
61,"boAt Rockerz 255 Pro+ in-Ear Bluetooth Neckband with Upto 40 Hours Playback, ASAP Charge, IPX7, Dual Pairing, BT v5.0, with Mic (Active Black)","1,299",boAt,Rockerz 255 Pro+,Active Black,In Ear,Bluetooth 5.0,,,,,,,,,,,
62,"GoSale Wireless HBS Bluetooth Earphones for Xiaomi Mi Mix EVO Earphone in-Ear Headphones Headset with Microphone, Magnetic Earbuds, Extra Bass, Sports, Neck-Band, Jogger",NaN,GoSale,,Multicolour,In Ear,bluetooth,Bluetooth,,,,,,,,,,
63,"JBL Tune 710BT by Harman, 50 Hours Playtime with Quick Charging Wireless Over Ear Headphones with Mic, Dual Pairing, AUX & Voice Assistant Support for Mobile Phones (Blue)","4,499",JBL,Tune,Blue,Over Ear,Wireless,,,,,,,,,,,
64,"Earphones Headphones for vivo iQOO 7 (India) / vivo iQOO 7 Earphone Original Like Wired Stereo Deep Bass Head Hands-free Headset Earbud With Built in-line Mic, With Premium Quality Good Sound Call Answer/End Button, Music 3.5mm Aux Audio Jack (AK-C, SK14, Black) (3.5 Ampere, 1 Meter/3.3 Feet, PR50A, C TO C Red)",NaN,Shop Reals,vivo iQOO 7 (India),Multicolour,In Ear,Wired,,,,,,,,,,,
65,ZEBRONICS Zeb-Duke Bluetooth Wireless Over Ear Headphone with Mic (Blue),"1,299",ZEBRONICS,Zeb-Duke,Blue,Over Ear,Wireless,,,,,,,,,,,
66,"Earphones Headphones for vivo iQOO Neo 6 Earphone Original Like Wired Stereo Deep Bass Head Hands-free Headset Earbud With Built in-line Mic, With Premium Quality Good Sound Call Answer/End Button, Music 3.5mm Aux Audio Jack (TYPE C AK, Black)",279,Shop Reals,Vivo iQOO Neo 6,Multicolour,In Ear,Wired,,,,,,,,,,,
67,"boAt Nirvana 751 ANC Hybrid Active Noise Cancelling Bluetooth Wireless Over Ear Headphones with Up to 65H Playtime, ASAP Charge, Ambient Sound Mode, Immersive Sound, Carry Pouch(Gunmetal Grey)","3,999",boAt,Nirvanaa 751 ANC,Gunmetal Grey,Over Ear,Bluetooth 5.0,,,,,,,,,,,
68,"JBL Tune 760NC, Wireless Over Ear Active Noise Cancellation Headphones with Mic, up to 50 Hours Playtime, Pure Bass, Dual Pairing, AUX & Voice Assistant Support for Mobile Phones (Black)","4,999",JBL,Tune,Black,Over Ear,Bluetooth 5.0,,,,,,,,,,,
69,Jabra Evolve 65 MS Stereo & Link 360 Bluetooth Wireless Over Ear Headphones with mic Black,"23,090",Jabra,Jabra Evolve 65 MS Stereo & Link 360,Black,Over Ear,Wireless,,,,,,,,,,,
70,"Earphones Headphones for Xiaomi Redmi Note 8 Pro Earphone Original Like Wired Stereo Deep Bass Head Hands-free Headset Earbud With Built in-line Mic, With Premium Quality Good Sound Call Answer/End Button, Music 3.5mm Aux Audio Jack (MP8, Black)",NaN,Shop Reals,Xiaomi Redmi Note 8 Pro,Multicolour,In Ear,Wired,,,,,,,,,,,
71,"Sony WI-XB400 Wireless Extra Bass in-Ear Headphones with 15 hrs Battery, Quick Charge, Magnetic Earbuds, Tangle Free Cord, BT Ver 5.0, Work from Home,Bluetooth Headset with Mic for Phone Calls (Blue)","3,299",Sony,Headphones,Blue,In Ear,Bluetooth 5.0,,,,,,,,,,,
72,"JBL Endurance Run 2, Sports in Ear Wired Earphones with Mic, Pure Bass, Sweatproof, Flexsoft eartips, Magnetic Earbuds, Fliphook & TwistLock Technology with Voice Assistant Support for Mobiles (Blue)","1,199",JBL,ENDURANCE RUN-2,Blue,In Ear,Wired,,,,,,,,,,,
73,"Gaming Headset K8 with Surround Sound, Premium Wired Over Ear Gaming Headphones with Mic & LED Light, Compatible with PS5, PS4, Switch, Xbox Series X|S, PC, Laptop. (White)",827,RUNMUS GAMING,K8,Black,Over Ear,Wired,,,,,,,,,,,
74,"JBL Tune 700BT by Harman, 27-Hours Playtime with Quick Charging, Wireless Over Ear Headphones with Mic, Dual Pairing, AUX & Voice Assistant Support for Mobile Phones (Black)","4,499",JBL,Tune,Black,Over Ear,Wireless,,,,,,,,,,,
75,Sony Extra Bass MDR-XB450AP On-Ear Wired Headphones with Mic (Blue),"2,099",Sony,MDR-XB450AP,Blue,On Ear,Wired,,,,,,,,,,,
76,"Wireless Bluetooth Headphones Earphones for OnePlus Nord 2T Original Sports Bluetooth Wireless Earphone with Deep Bass and Neckband Hands-Free Call/Music, Sports Earbuds, Sweatproof Mic Headphones with Long Battery Life and Flexible Headset ( MP13, BT-MIX, Black)",NaN,Shop Reals,OnePlus Nord 2T,Multicolour,In Ear,Wireless,,,,,,,,,,,
77,Dylect in-Ear Wired Earphone I Stereo Quality Sound I High Bass I in-Built Mic I 1.2m Tangle Free Cable I 3.5mm Aux Port (Black),188,Dylect,Dylect Wired Earphone,Black,In Ear,Wired,,,,,,,,,,,
