Title,Actual_Price,Selling_Price,Model Name,Color,Connectivity,Headphone_Type
"PTron Bassbuds Duo Bluetooth Headset  (Blue, True Wireless)","₹2,599","₹1,299",Bassbuds Duo,Blue,Bluetooth,In Ear
"Boult Audio ProBass EQCharge with ZEN Mode ENC, 32hrs Playtime, Ultra-Fast Charging Bluetooth Headset  (Black, In the Ear)","₹4,499",₹799,ProBass EQCharge,Black,Bluetooth,In Ear
"Noise Nerve Neckband with 25 Hours of Playtime, 10mm Driver, Instacharge, and IPX5 Bluetooth Headset  (Stone Blue, In the Ear)","₹2,499",₹899,Nerve,Stone Blue,Bluetooth,In Ear
"ZEBRONICS Zeb-Thunder(Blue) Bluetooth Headset  (Blue, On the Ear)","₹1,399",₹939,Zeb-Thunder(Blue),Blue,Bluetooth,On Ear
"Noise Nerve Neckband with 25 Hours of Playtime, 10mm Driver, Instacharge, and IPX5 Bluetooth Headset  (Forest Green, In the Ear)","₹2,499",₹899,NNB-31,Forest Green,Bluetooth,In Ear
"boAt Bassheads 103 Black Wired Headset  (Black, In the Ear)","₹1,290",₹499,Bassheads 103 Black,Black,Wired,In Ear
"boAt Rockerz 255 Pro+ with ASAP Charge and upto 40 Hours Playback Bluetooth Headset  (Teal Green, In the Ear)","₹3,990","₹1,299",Rockerz 255 Pro+ with ASAP Charge and upto 4 Hours Playback,Teal Green,Bluetooth,In Ear
"Skullcandy Dime Truly wireless in Ear Earbuds with microphone Bluetooth Headset  (Orange, True Wireless)","₹7,499","₹2,499",S2DMW-P754,Orange,Bluetooth,In Ear
"PTron Basspods Flare, 40ms Gaming TWS Earbuds, 35hrs Playtime, Clear Calls & Deep Bass Bluetooth Headset  (Blue, In the Ear)","₹3,199",₹899,Basspods Flare,Blue,Bluetooth,In Ear
"boAt Rockerz 255 Arc with ENx Technology and upto 30 Hours Playback Bluetooth Headset  (Cosmos Black, In the Ear)","₹2,990","₹1,299",Rockerz 255 Arc,Cosmos Black,Bluetooth,In Ear
"boAt Rockerz 255 Arc with ENx Technology and upto 30 Hours Playback Bluetooth Headset  (Fern Green, In the Ear)","₹2,990","₹1,299",Rockerz 255 Arc,Fern Green,Bluetooth,In Ear
"Boult Audio AirBass Z40 with ZEN ENC Mic, 60H Playtime, Low Latency Bluetooth Headset  (White, In the Ear)","₹4,999","₹1,499",Airbass Z40,White,Bluetooth,In Ear
"Skullcandy Indy Evo Bluetooth Headset  (Black, True Wireless)","₹12,999","₹6,499",Indy Evo,Black,Bluetooth,In Ear
"ZEBRONICS ZEB-THUNDER Bluetooth Headset  (Red, On the Ear)","₹1,399",₹949,ZEB-THUNDER,Red,Bluetooth,On Ear
"Noise Buds VS304 with 30 Hours Playtime, Instacharge, 13mm Driver, and Half in-ear Bluetooth Headset  (Jet Black, True Wireless)","₹2,999","₹1,099",Buds VS304,Jet Black,Bluetooth,In Ear
"ZEBRONICS Wired Headset Wired Headset  (Black, In the Ear)",₹399,₹255,Wired Headset,Black,Wired,In Ear
"boAt Rockerz 333ANC with Crystal Bionic Sound,13mm Drivers &Active Noise Cancellation Bluetooth Headset  (Moon Grey, In the Ear)","₹4,990","₹1,999",Rockerz 333ANC,Moon Grey,Bluetooth,In Ear
"ZEBRONICS ZEB-BRO Headset with Mic Wired Headset  (White, In the Ear)",₹399,₹299,ZEB-BRO Headset with Mic,White,Wired,In Ear
"Skullcandy Jib Plus Wireless Bluetooth Headset  (Black, In the Ear)","₹2,499","₹1,399",S2JPW-M003,Black,Bluetooth,In Ear
"ZEBRONICS Zeb Yoga 4 Bluetooth Headset  (Black, Yellow, True Wireless)","₹1,399",₹999,Zeb Yoga 4,"Black, Yellow",Bluetooth,In Ear
"ZEBRONICS ZEB-BRO Wired Headset  (Red, In the Ear)",₹399,₹325,ZEB-BRO,Red,Wired,In Ear
"Boult Audio Airbass Z35 with ZEN ENC Mic, 32H Playtime, 45ms Ultra-Low Latency Mode, 5.3 Bluetooth Headset  (Graphite Black, True Wireless)","₹2,999","₹1,299",Airbass Z35,Graphite Black,Bluetooth,In Ear
"Boult Audio Airbass XPods Pro with 20 hrs Playtime, Type-C Bluetooth Headset  (Black, True Wireless)","₹5,999","₹1,299",xpods pro,Black,Bluetooth,In Ear
"boAt Airdopes 131 PRO with 11mm Drivers,45Hrs Playback,ASAP Charge & Quad Mic ENx Bluetooth Headset  (Royal Blue, In the Ear)","₹2,990","₹1,299",Airdopes 131 Pro,Royal Blue,Bluetooth,In Ear
"PTron Basspods 581 Bluetooth Headset  (Black & Yellow, True Wireless)","₹3,799","₹1,099",Basspods 581,Black & Yellow,Bluetooth,In Ear
"Boult Audio AirBass PowerBuds with Inbuilt Powerbank, 120H Playtime, IPX7 Waterproof Bluetooth Headset  (Black, True Wireless)","₹8,999","₹1,499",Air Bass Power Buds,Black,Bluetooth,In Ear
"Wings Phantom 205 Neckband with touch controls Bluetooth 5.3 Bluetooth Gaming Headset  (Black, In the Ear)","₹2,999",₹899,Phantom 205 Neck band with touch controls,Black,Bluetooth,In Ear
"Portronics Harmonics One Sports Bluetooth Headset  (Black, In the Ear)","₹1,999","₹1,084",Harmonics One Sports,Black,Bluetooth,In Ear
"Skullcandy Jib Headset with mic  (White, In the Ear)",₹999,₹799,S2DUYK-441 JIB,White,Wired,In Ear
"Boult Audio AirBass GearPods with 32H Playtime Bluetooth Headset  (Blue, True Wireless)","₹5,999",₹999,Gearpods Wireless Earphones,Blue,Bluetooth,In Ear
"boAt Rockerz 450 Pro with Upto 70 Hours Playback Bluetooth Headset  (Luscious Black, On the Ear)","₹3,990","₹1,999",Rockerz 450 Pro with Upto 70 Hours Playback,Luscious Black,Bluetooth,On Ear
"boAt Rockerz 333ANC with Crystal Bionic Sound,13mm Drivers &Active Noise Cancellation Bluetooth Headset  (Moon Grey, In the Ear)","₹4,990","₹1,999",Rockerz 333ANC,Moon Grey,Bluetooth,In Ear
"Boult Audio Audio Airbass X50 with Quad Mic ENC, 40H Playtime with Gaming Mode On Bluetooth Headset  (White, True Wireless)","₹4,999","₹1,599","Audio Airbass X50 with Quad Mic ENC, 40H Playtime with Gaming Mode On",White,Bluetooth,In Ear
"Portronics Harmonics 250 Fast Charging with 60Hrs Playtime Bluetooth Headset  (Black, In the Ear)","₹2,999","₹1,799",Harmonics 250 Fast Charging with 60Hrs Playtime,Black,Bluetooth,In Ear
"Portronics Harmonics Z2 - 30 Hours Playtime Wireless Neckband Bluetooth Headset  (Black, In the Ear)","₹1,999",₹799,Harmonics Z2 Wireless Stereo,Black,Bluetooth,In Ear
"Noise Buds VS102 Plus with 36 Hours Playtime, Instacharge, ENC, Quad Mic and HyperSync Bluetooth Headset  (Snow White, True Wireless)","₹3,999","₹1,199","Buds VS102 Plus with 36 Hours Playtime, Instacharge, ENC, Quad Mic and HyperSync",Snow White,Bluetooth,In Ear
"PTron InTunes Beats Bluetooth Headset  (Black, In the Ear)","₹2,499","₹1,199",InTunes Beats,Black,Bluetooth,In Ear
"Skullcandy Push Active True Wireless Earbuds, Voice Control Bluetooth Headset  (Blue/Grey, True Wireless)","₹13,999","₹6,599","Push Active True Wireless Earbuds, Voice Control",Blue/Grey,Bluetooth,In Ear
"Wings Phantom 410 Wireless Earbuds with Digital Battery Indicator & 70 Hrs Playtime Bluetooth Gaming Headset  (Black, True Wireless)","₹2,999",₹999,Phantom 410,Black,Bluetooth,In Ear
"Wings Phantom 200 Wireless Earbuds, LED, 40ms Low Latency, DNS Mic Headphones Bluetooth Gaming Headset  (Orange, In the Ear)","₹2,999","₹1,199",Phantom 200,Orange,Bluetooth,In Ear
"Boult Audio AirBass GearPods with 32H Playtime Bluetooth Headset  (Black, True Wireless)","₹5,999",₹999,AirBass GearPods,Black,Bluetooth,In Ear
"Noise Nerve Neckband with 25 Hours of Playtime, 10mm Driver, Instacharge, and IPX5 Bluetooth Headset  (Carbon Black, In the Ear)","₹2,499",₹899,Nerve Neckband,Carbon Black,Bluetooth,In Ear
"Boult Audio Airbass Z35 with ZEN ENC Mic, 32H Playtime, 45ms Ultra-Low Latency Mode, 5.3 Bluetooth Headset  (Sunset Grey, True Wireless)","₹2,999","₹1,299",Airbass Z35,Sunset Grey,Bluetooth,In Ear
"Portronics Harmonics Twins 27 ANC + ENC Noise Cancelling Smart TWS Earbuds Bluetooth Headset  (Black, True Wireless)","₹3,999","₹1,999",Harmonics Twins 27 ANC + ENC Noise Cancelling Smart TWS Earbuds,Black,Bluetooth,In Ear
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset  (Viper Green, On the Ear)","₹3,490","₹1,199",Rockerz 510 / Rockerz 518,Viper Green,Bluetooth,On Ear
"boAt Rockerz 450 Pro with Upto 70 Hours Playback Bluetooth Headset  (Aqua Blue, On the Ear)","₹3,990","₹1,999",Rockerz 450 Pro with Upto 70 Hours Playback,Aqua Blue,Bluetooth,On Ear
"boAt Rockerz 235 Pro with upto 20 Hours Playback and ASAP Charge Bluetooth Headset  (Ash Grey, In the Ear)","₹2,490",₹999,Rockerz 235 Pro,Ash Grey,Bluetooth,In Ear
"PTron Boom One Wired Headset  (Blue, In the Ear)",₹800,₹390,Boom One,Blue,Wired,In Ear
"Portronics Harmonics Twins 24 Bluetooth Headset  (White, True Wireless)","₹1,999","₹1,139",Harmonics Twins 24,White,Bluetooth,In Ear
"Boult Audio ProBass Fcharge with 40 hrs Playtime, ENC, Fast Charging, Fast Pairing Bluetooth Headset  (Black, In the Ear)","₹4,999","₹1,199",ProBass FCharge,Black,Bluetooth,In Ear
"boAt Rockerz 450 Pro with Upto 70 Hours Playback Bluetooth Headset  (Hazel Beige, On the Ear)","₹3,990","₹1,999",Rockerz 450 Pro with Upto 70 Hours Playback,Hazel Beige,Bluetooth,On Ear
"Boult Audio Audio Airbass X50 with Quad Mic ENC, 40H Playtime with Gaming Mode On Bluetooth Headset  (Black, True Wireless)","₹4,999","₹1,499","Audio Airbass X50 with Quad Mic ENC, 40H Playtime with Gaming Mode On",Black,Bluetooth,In Ear
"PTron InTunes Ultima With Mega Bass Bluetooth Headset  (Black, Blue, In the Ear)","₹2,699",₹983,InTunes Ultima,"Black, Blue",Bluetooth,In Ear
"Skullcandy Indy ANC Bluetooth Headset  (Chill Grey, True Wireless)","₹19,999","₹9,699",Indy ANC,Chill Grey,Bluetooth,In Ear
"Skullcandy Push Active True Wireless Earbuds, Voice Control Bluetooth Headset  (Blue/Grey, True Wireless)","₹13,999","₹6,599","Push Active True Wireless Earbuds, Voice Control",Blue/Grey,Bluetooth,In Ear
"Portronics Harmonics Z1 Wireless Stereo Bluetooth Headset  (Green, In the Ear)","₹1,999",₹999,Harmonics Z1 Wireless Stereo,Green,Bluetooth,In Ear
"Skullcandy Cassette Wireless Bluetooth Headset  (Chill Gray, On the Ear)","₹3,999","₹2,699",Cassette Wireless,Chill Gray,Bluetooth,On Ear
"Skullcandy Hesh Evo Bluetooth Headset  (Black, On the Ear)","₹14,999","₹8,299",s6hvw-n740,Black,Bluetooth,On Ear
"boAt Airdopes 131 with upto 60 Hours and ASAP Charge Bluetooth Headset  (Crimson Cream, True Wireless)","₹2,990","₹1,299",Airdopes 131,Crimson Cream,Bluetooth,In Ear
"Boult Audio Maverick with Quad Mic ENC, 45ms Low Latency Gaming Mode, 35H Playtime Bluetooth Headset  (Black, True Wireless)","₹4,499","₹1,799",Maverick,Black,Bluetooth,In Ear
"Noise Buds VS102 Plus with 36 Hours Playtime, Instacharge, ENC, Quad Mic and HyperSync Bluetooth Headset  (Space Blue, True Wireless)","₹3,999","₹1,599","Buds VS102 Plus with 36 Hours Playtime, Instacharge, ENC, Quad Mic and HyperSync",Space Blue,Bluetooth,In Ear
"Boult Audio Ranger Bluetooth Gaming Headset  (Black, On the Ear)","₹7,999","₹1,799",Ranger,Black,Bluetooth,On Ear
"PTron Bassbuds Rush Bluetooth Gaming Headset  (Black, True Wireless)","₹3,199","₹1,599",Bassbuds Rush,Black,Bluetooth,In Ear
"ZEBRONICS ZEB-BRO Wired Headset  (Red, In the Ear)",₹399,₹325,ZEB-BRO,Red,Wired,In Ear
"ZEBRONICS ZEB- PHOENIX Wired Gaming Headset  (Black, On the Ear)","₹1,999","₹1,275",ZEB- PHOENIX,Black,Wired,On Ear
"Boult Audio Airbass Z35 with ZEN ENC Mic, 32H Playtime, 45ms Ultra-Low Latency Mode, 5.3 Bluetooth Headset  (Graphite Black, True Wireless)","₹2,999","₹1,299",Airbass Z35,Graphite Black,Bluetooth,In Ear
"Skullcandy Ink'd Plus Wired Headset  (Blue, In the Ear)","₹2,499","₹1,092",S2IMY-M686,Blue,Wired,In Ear
"PTron Bassbuds B11 with 13mm Driver, Stereo Calls, 28Hrs Playback Bluetooth Headset  (Black, In the Ear)","₹2,599",₹999,Bassbuds B11,Black,Bluetooth,In Ear
"Noise Buds VS204 with 50 Hours Playtime, Instacharge, ESR, 10mm Driver, and HyperSync Bluetooth Headset  (Space Blue, True Wireless)","₹3,999","₹1,599",Buds�VS204,Space Blue,Bluetooth,In Ear
"Noise Buds VS102 Plus with 36 Hours Playtime, Instacharge, ENC, Quad Mic and HyperSync Bluetooth Headset  (Forest Green, True Wireless)","₹3,999","₹1,499","Buds VS102 Plus with 36 Hours Playtime, Instacharge, ENC, Quad Mic and HyperSync",Forest Green,Bluetooth,In Ear
"PTron Basspods P251+, 50Hrs Playback, 12mm Driver, ENC, Movie Mode Bluetooth Headset  (White, True Wireless)","₹3,999",₹999,Basspods P251+,White,Bluetooth,In Ear
"ZEBRONICS ZEB-BRO Wired Headset  (Blue, In the Ear)",₹399,₹308,ZEB-BRO,Blue,Wired,In Ear
"Wings Phantom 550, Gaming TWS Earbuds, 45hr Playtime, Touch Controls Bluetooth Gaming Headset  (White, True Wireless)","₹2,999","₹1,299",Phantom 550,White,Bluetooth,In Ear
"PTron InTunes Beats Bluetooth Headset  (Black, In the Ear)","₹2,499","₹1,199",InTunes Beats,Black,Bluetooth,In Ear
"Noise Air Buds Pro 2 with 25 Hours Playtime, 40dB ANC, Triple Mic with ENC, and IPX5 Bluetooth Headset  (Snow White, True Wireless)","₹7,999","₹2,699","Air Buds Pro 2 with 25 Hours Playtime, 40dB ANC, Triple Mic with ENC, and IPX5",Snow White,Bluetooth,In Ear
"Noise Flair Neckband with 35 Hours Playtime, ENC with Dual Mic, 10mm Driver, and IPX5 Bluetooth Headset  (Carbon Black, In the Ear)","₹3,999","₹1,799",Flair Touch Neckband,Carbon Black,Bluetooth,In Ear
"Wings Phantom 110 Neckband, LED , 20 hrs Playtime, 50ms Low Latency Headphones Bluetooth Gaming Headset  (Black, In the Ear)","₹1,999",₹899,WL-PHANTOM110,Black,Bluetooth,In Ear
"Boult Audio Thunder Bluetooth Headset  (Black, On the Ear)","₹3,999","₹1,399",Thunder,Black,Bluetooth,On Ear
"Boult Audio ProBass EQCharge with ZEN Mode ENC, 32hrs Playtime, Ultra-Fast Charging Bluetooth Headset  (Black, In the Ear)","₹4,499",₹799,ProBass EQCharge,Black,Bluetooth,In Ear
"Noise Nerve Pro with upto 35hrs of playtime, ESR, Instacharge and Bluetooth v5.2 Bluetooth Headset  (Cyan Blue, In the Ear)","₹2,799","₹1,099",Nerve Pro Neckband,Cyan Blue,Bluetooth,In Ear
"Noise Buds VS304 with 35 Hours Playtime, Instacharge, 13mm Driver, and Half in-ear Bluetooth Headset  (Pearl White, True Wireless)","₹2,999","₹1,099",Buds VS304,Pearl White,Bluetooth,In Ear
"Wings Phantom 860 Wireless Earbuds, 50 hrsPlaytime, Quad ENC Mic & App Support Bluetooth Gaming Headset  (Black, True Wireless)","₹2,999","₹1,499",WL-PHANTOM860-BLK,Black,Bluetooth,In Ear
"Boult Audio AirBass PowerBuds with Inbuilt Powerbank, 120H Playtime, IPX7 Waterproof Bluetooth Headset  (Black, True Wireless)","₹8,999","₹1,499",Air Bass Power Buds,Black,Bluetooth,In Ear
"Noise Air Buds Mini with 15 Hours Playtime, Tru Bass Technology, and HyperSync Bluetooth Headset  (Pale Blue, True Wireless)","₹2,999",₹999,Air Buds Mini Truly Wireless,Pale Blue,Bluetooth,In Ear
"PTron Bassbuds Epic, 40ms Gaming TWS Earbuds, 35hrs Playtime, ENC Calls, Touch Control Bluetooth Headset  (Black, In the Ear)","₹3,199","₹1,299",Bassbuds Epic,Black,Bluetooth,In Ear
"Skullcandy Dime Truly wireless in Ear Earbuds with microphone Bluetooth Headset  (Blue, True Wireless)","₹7,499","₹2,699",s2dmw-p751,Blue,Bluetooth,In Ear
"Noise Buds VS204 with 50 Hours Playtime, Instacharge, ESR, 10mm Driver, and HyperSync Bluetooth Headset  (Snow White, True Wireless)","₹3,999","₹1,599",Buds�VS204,Snow White,Bluetooth,In Ear
"Skullcandy Sesh Evo Bluetooth Headset  (Bleached Blue, True Wireless)","₹7,999","₹4,799",Sesh Evo,Bleached Blue,Bluetooth,In Ear
"PTron Basspods P481, 60Hrs Playtime, Deep Bass, ENC Stereo Calls Bluetooth Headset  (Black, In the Ear)","₹3,199",₹899,Basspods P481,Black,Bluetooth,In Ear
"ZEBRONICS ZEB-Buds-C2 Wired Headset  (Black, In the Ear)",₹699,₹599,ZEB-Buds-C2,Black,Wired,In Ear
"Skullcandy Dime 2 Bluetooth Headset  (Blue, Grey, True Wireless)","₹7,999","₹2,699",S2DBW-P751,"Blue, Grey",Bluetooth,In Ear
"PTron Basspods P481, 60Hrs Playtime, Deep Bass, ENC Stereo Calls Bluetooth Headset  (Black, In the Ear)","₹3,199",₹899,Basspods P481,Black,Bluetooth,In Ear
"PTron Basspods 281 In-Ear True Wireless Bluetooth 5.1 Headphones with Deep Bass, Touch Control, IPX4 Sweat/Water-Resistant, Stereo Calling & Passive Noise Canceling Earbuds (Black/Grey) Bluetooth Headset  (Black, Grey, True Wireless)","₹2,699","₹1,099",Basspods 281,"Black, Grey",Bluetooth,In Ear
"PTron Basspods P11, 24Hrs Playback, 10mm Driver, MovieMode, HD Mic Bluetooth Headset  (Black, True Wireless)","₹2,999",₹799,Basspods P11,Black,Bluetooth,In Ear
"ZEBRONICS Zeb-Thunder(Blue) Bluetooth Headset  (Blue, On the Ear)","₹1,399",₹939,Zeb-Thunder(Blue),Blue,Bluetooth,On Ear
"ZEBRONICS Zeb Duke 1 Wireless Headphone with Mic Bluetooth Headset  (Red, On the Ear)","₹2,499",₹999,Zeb-Duke 1,Red,Bluetooth,On Ear
"Skullcandy Sesh S2TDW-M003 True Wireless Bluetooth Headset  (Black, True Wireless)","₹5,999","₹4,999",Sesh S2TDW-M003,Black,Bluetooth,In Ear
"Noise Nerve Neckband with 25 Hours of Playtime, 10mm Driver, Instacharge, and IPX5 Bluetooth Headset  (Stone Blue, In the Ear)","₹2,499",₹899,Nerve,Stone Blue,Bluetooth,In Ear
"boAt Airdopes 131 PRO with 11mm Drivers,45Hrs Playback,ASAP Charge & Quad Mic ENx Bluetooth Headset  (Mint Cascade, In the Ear)","₹2,990","₹1,299",Airdopes 131 Pro,Mint Cascade,Bluetooth,In Ear
"ZEBRONICS Zeb-Orion Wired Gaming Headset  (Black, On the Ear)","₹4,999","₹1,899",Orion,Black,Wired,On Ear
"Noise Buds Combat with 45 Hours Playtime, Ultra-low Latency(40ms), Quad Mic ENC Gaming Bluetooth Headset  (Covert white, True Wireless)","₹3,999","₹1,799",Buds Combat,Covert white,Bluetooth,In Ear
"ZEBRONICS ZEB- EARPHONE YOGA 2 Bluetooth Headset  (Black, In the Ear)","₹1,699","₹1,395",ZEB- EARPHONE YOGA 2,Black,Bluetooth,In Ear
"Skullcandy Indy ANC Bluetooth Headset  (Black, True Wireless)","₹19,999","₹6,499",Indy ANC,Black,Bluetooth,In Ear
"Boult Audio ProBass Escape with Zen Tech ENC mic 10Hrs Playtime, Extra Deep Bass Bluetooth Headset  (Black, In the Ear)","₹3,999",₹899,ProBass Escape,Black,Bluetooth,In Ear
"Skullcandy Hesh ANC Bluetooth Headset  (Black, On the Ear)","₹19,999","₹11,194",Hesh ANC,Black,Bluetooth,On Ear
"Boult Audio Omega with 30dB ANC, Quad Mic ENC, 45ms Latency Gaming Mode, 32H Playtime, 5.2 Bluetooth Headset  (Black, True Wireless)","₹9,999","₹1,999",Airbass Omega,Black,Bluetooth,In Ear
"Portronics POR-1025 Conch Gama Wired Headset  (Black, In the Ear)",₹599,₹349,POR-1025 Conch Gama,Black,Wired,In Ear
"Wings Phantom Pro Godlike Gaming TWS Earbuds Bluetooth Gaming Headset  (Yellow, True Wireless)","₹4,999","₹1,299",Phantom Pro Godlike Gaming TWS Earbuds,Yellow,Bluetooth,In Ear
"Boult Audio Maverick with Quad Mic ENC, 45ms Low Latency Gaming Mode, 35H Playtime Bluetooth Headset  (Black, True Wireless)","₹4,499","₹1,799",Maverick,Black,Bluetooth,In Ear
"ZEBRONICS Zeb-Sound Bomb 10 Bluetooth Headset  (Black, True Wireless)","₹4,299","₹2,145",Zeb-Sound Bomb 10,Black,Bluetooth,In Ear
"PTron Bassbuds Xtreme, Gaming TWS Earbuds, 32hrs Playtime, Clear Calls, Pinch Control Bluetooth Headset  (Blue & Black, In the Ear)","₹4,599","₹1,299",Bassbuds Xtreme,Blue & Black,Bluetooth,In Ear
"Wings Phantom 550, Gaming TWS Earbuds, 45hr Playtime, Touch Controls Bluetooth Gaming Headset  (Blue, True Wireless)","₹2,999","₹1,299",Phantom 550,Blue,Bluetooth,In Ear
"ZEBRONICS Zeb-Bang Pro Bluetooth Headset  (Orange, On the Ear)","₹2,499","₹1,199",Zeb-Bang Pro,Orange,Bluetooth,On Ear
"Skullcandy Jib Headset with mic  (Black, In the Ear)",₹999,₹799,S2DUYK-343,Black,Wired,In Ear
"Wings Phantom Gaming TWS with 50ms Low Latency Bluetooth 5.3 Headset Bluetooth Gaming Headset  (White, True Wireless)","₹4,999","₹1,199",Phantom Gaming TWS with 65 ms Latency Bluetooth Headset,White,Bluetooth,In Ear
"ZEBRONICS ZEB-BRO Wired Headset  (Green, In the Ear)",₹399,₹308,ZEB-BRO,Green,Wired,In Ear
"boAt Rockerz 255F Pro with ASAP Charge and upto 10 Hours Playback Bluetooth Headset  (Active Black, In the Ear)","₹3,499","₹1,399",Rockerz 255F Pro / Rockerz 255 Pro,Active Black,Bluetooth,In Ear
"Noise Air Buds Pro 2 with 25 Hours Playtime, 40dB ANC, Triple Mic with ENC, and IPX5 Bluetooth Headset  (Charcoal Black, True Wireless)","₹7,999","₹2,999","Air Buds Pro 2 with 25 Hours Playtime, 40dB ANC, Triple Mic with ENC, and IPX5",Charcoal Black,Bluetooth,In Ear
"ZEBRONICS Zeb-Iron Head Wired Gaming Headset  (Black, On the Ear)","₹2,799","₹1,049",Zeb-Iron Head,Black,Wired,On Ear
"Boult Audio ProBass XCharge with Zen Tech ENC mic 20H Playtime, Ultra-Fast Charging Bluetooth Headset  (Black, In the Ear)","₹4,999",₹999,ProBassXcharge Black,Black,Bluetooth,In Ear
"Skullcandy Sesh Evo Bluetooth Headset  (Bleached Blue, True Wireless)","₹7,999","₹4,799",Sesh Evo,Bleached Blue,Bluetooth,In Ear
"PTron InTunes Ultima With Mega Bass Bluetooth Headset  (Black, Grey, In the Ear)","₹2,699",₹999,InTunes Ultima,"Black, Grey",Bluetooth,In Ear
"Wings Phantom 850 Wireless Earbuds, 50 hrsPlaytime, Quad ENC Mic & App Support Bluetooth Gaming Headset  (White, In the Ear)","₹2,999","₹1,499",Phantom 850,White,Bluetooth,In Ear
"PTron Pride Lite HBE in-Ear Wired Headphones ( Blue ) Wired Headset  (Blue, In the Ear)",₹849,₹399,Pride Lite HBE in-Ear Wired Headphones ( Blue ),Blue,Wired,In Ear
"Wings Vader 200 Wired Gaming Headset  (Black, On the Ear)","₹2,199","₹1,299",Vader 200,Black,Wired,On Ear
"Skullcandy Ink'd Plus Wired Headset  (Black, In the Ear)","₹1,765","₹1,072",S2IMY-M448,Black,Wired,In Ear
"Wings Bass Drops 101 with Environmental Noise Cancellation, 30 hours Playtime Bluetooth Headset  (White, True Wireless)","₹2,999","₹1,399",Bass Drops 101,White,Bluetooth,In Ear
"Skullcandy Crusher Evo Bluetooth Headset  (Black, On the Ear)","₹27,999","₹16,299",Crusher Evo,Black,Bluetooth,On Ear
"PTron Bassbuds Verse TWS Earbuds, 40H Playtime, ENC Calls, Deep Bass, BT5.3,TypeC,IPX4 Bluetooth Headset  (Grey, In the Ear)","₹4,599",₹999,Bassbuds Verse,Grey,Bluetooth,In Ear
"boAt Airdopes Atom 83 with 50Hrs Playback, Quad Mics ENx Technology & Beast Mode Bluetooth Headset  (Carbon Black, True Wireless)","₹4,490","₹1,499",Airdopes Atom 83,Carbon Black,Bluetooth,In Ear
"boAt Airdopes 163 Bluetooth Headset  (Active Black, True Wireless)","₹2,490","₹1,399",AIRDOPES 163,Active Black,Bluetooth,In Ear
"PTron Bassbuds Revv Bluetooth Gaming Headset  (Black, True Wireless)","₹4,599","₹1,699",Bassbuds Revv,Black,Bluetooth,In Ear
"Wings Phantom Pro Gaming TWS with 40 Hrs Playtime,50ms low latency, Bluetooth 5.3 Bluetooth Gaming Headset  (White, True Wireless)","₹5,499","₹1,299",Phantom Pro Gaming TWS with 40 Hrs Playtime Bluetooth Headset,White,Bluetooth,In Ear
"Skullcandy Hesh ANC Bluetooth Headset  (Mod White, On the Ear)","₹19,999","₹11,299",Hesh ANC,Mod White,Bluetooth,On Ear
"ZEBRONICS Zeb-Yoga 101 Bluetooth Headset  (Grey, In the Ear)","₹2,499",₹849,Zeb-Yoga 101,Grey,Bluetooth,In Ear
"boAt Rockerz 333 Upto 30 Hours Battery Bluetooth Headset  (Cherry Black, In the Ear)","₹2,490","₹1,599",Rockerz 333 with ASAP Charge and upto 30 Hours Playback,Cherry Black,Bluetooth,In Ear
